id,legacy_id,label,type,subtype,date_start,date_end,creator_display,agent_ids,institution_id,signature,source_url,drive_id,drive_url,local_src,image_url,iiif_url,description,source_reference,model_cluster,chain,path_group,include_demo,demo_priority,source_table,source_row_id,needs_review
img_011_campamento_camino_quindio,img_11,Campamento camino del Quindio,Imagen,Pintura,1824.0,1824.0,François Desiré Roulin,agt_roulin,inst_banrep,,https://descubridor.banrepcultural.org/permalink/57BDLRDC_INST/qk5q4l/alma991008927709707486,1AsU9pZJ0E7izMcH9nGeXXDqYsF1LMcul,https://drive.google.com/file/d/1AsU9pZJ0E7izMcH9nGeXXDqYsF1LMcul/view,8.jpg,/img/corpus/roulin/8.jpg,,"El boceto del campamento en el camino del Quindío se encuentra reproducido en la biografía de Francois Desire Roulin publicada por Marguerite Combes en 1929. La biógrafa reprodujo varios bocetos de Roulin en su texto sobre el francés. Estos dibujos, según Antei, se deben encontrar aun en alguna colección privada. Ninguno de estos se encuentra en la colección de acuarelas donada en 2003. El dibujo muestra un campamento en el camino del Quindío en el que se puede apreciar un carguero en el centro de la composición. Según refiere Combes, el sujeto con un paraguas abierto que está siendo cargado es un notario que acompañaba a Roulin y Boussigault a la misión de inspeccionar y levantar el plano de las minas de La Vega de Supía. Combes equivocadamente afirma que el sujeto que se puede ver en la parte inferior derecha es Boussingault. Esto no es posible porque este último había recibido la orden de tomar la ruta por el Páramo de Herveo para explorar la posibilidad de hacer llegar a la Vega Supía, por este paso, un material que enviado desde Inglaterra con un grupo de mineros de Cornualles. Roulin hace una referencia directa a este dibujo en un pie de página en un artículo sobre el Tapir de su recopilación de trabajos científicos llamado Histoire naturelle et souvenirs de voyage de 1865. Este pie de página no se encuentra en el texto original publicado en los Annales des Sciences Naturelles en 1829 para reportar su descubrimiento de una nueva especie de Tapir en los andes de la Nueva Granada (Tapirus Pinchaque, Tapir andino o Danta de montaña).  La información que le dieron los cargueros cuando estaba pasando por el camino del Quindío fue útil para establecer la existencia de una especie de Tapir que habita las tierras altas andinas. Esta información fue luego corroborada en el páramo del Sumapaz en donde unos cazadores dieron caza a dos tapires andinos que sirvieron a Roulin para describir y dibujar el animal. En el pie de página Roulin aclara que se refiere por “cargueros”  a los portadores que durante el buen tiempo (belle saison) llevan a sus espaldas una parte de las mercancías de Ibagué a Cartago, y durante el tiempo de lluvias (saison des pluies) llevan los viajeros y las mercancías, dado que el camino se hace impracticable para las mulas. Así mismo, afirma que en el Magasin Pittoresque de 1848, en la página 233, se puede encontrar figurado “un viajero del Quindío y su montura humana (un voyageurdu Quindiù et sa monture humaine)”.  Y, que el grabado referido está tomado del dibujo de un campamento del Quindío que él mismo había hecho para Humboldt. Francois Desire Roulin, “Mémoire pour servir à l'Histoire du Tapir; et Description d'une espèce nouvelle appartenant aux hautes régions de la Cordilière des Andes”, Annales Des Sciences Naturelles, 18, 1829: 26-56; François Desiré Roulin, “Le tapir. Découverte D'une Espèce Nouvelle Et Histoire de L'ancienne Espèce”, Histoire naturelle et souvenirs de voyage (Paris: J. Herzel Libraire Editeur, 1965): 261-309;","Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",roulin,quindio_supia,,yes,1.0,roulin_filtrado,11.0,yes
img_014_view_pass_quindio_province_popayan,img_14,View of the pass from Quindio. In the province of Popayan & cargueros (or carriers) who travel it,Imagen,Grabado,1827.0,1827.0,John Potter Hamilton [Atribuido]. Eduard Francis Finden [grab],agt_hamilton_john_potter;agt_finden_edward_francis,inst_internet_archive,,https://archive.org/details/travelsthroughin02hami/page/210/mode/2up,1GGvrXLnvP6pZnUO3LT3k3iAphMLjKXVe,https://drive.google.com/file/d/1GGvrXLnvP6pZnUO3LT3k3iAphMLjKXVe/view,11.jpg,/img/corpus/roulin/11.jpg,,"Esta lámina podría estar, según Antei (1995, p. 111-112), basada en el boceto de Roulin. Argumenta, la posición del carguero, el sombrero de copa, la sombrilla, el cambio de orientación en el tallado para el grabado, y muestra que efectivamente Hamilton y Roulin se conocieron en Bogotá. Esto apoya la tesis de de Josefina de la Maza, Carolina Vanegas, Ricardo Rey y Catalina Valdés acerca de la posibilidad de que Roulin tuviese un Álbun de láminas que ponía al servicio de los viajeros. Además, sirve de modelo a una vista anónima probablemente basada “en originales de Gaetano Osculati” (Antei 1995, p. 61).","John Potter Hamilton, Travels through the interior provinces of Columbia (Londres: John Murray, 1827)",roulin,quindio_supia,,yes,1.0,roulin_filtrado,14.0,yes
img_015_sin_titulo,img_15,[Carguero],Imagen,Grabado,1830.0,1830.0,Anónimo,agt_anonimo,inst_museo_nacional_colombia,,https://www.worldcat.org/es/title/guia-de-forasteros-viajes-ilustrados-por-colombia-1817-1857/oclc/34881687?referer=di&ht=edition,1iJH2jBdemYsIWUq_otobFWY-Su6wfAkt,https://drive.google.com/file/d/1iJH2jBdemYsIWUq_otobFWY-Su6wfAkt/view,12.jpg,/img/corpus/roulin/12.jpg,,"Vista anónima probablemente basada “en originales de Gaetano Osculati” (Antei 1995, p. 61). Semejanza con la lámina del relato de Hamilton. Antei no precisa a cuál original. Cita el relato de Osculati, pero allí no se encuentra la imagen original. (por lo menos en la edición revisada).","Museo Nacional de Colombia, Antei, Giorgio. Guía de forasteros : viajes ilustrados por Colombia, 1817-1857 / Giorgio Antei. Bogotá: Seguros Bolívar, 1995.",roulin,quindio_supia,,no,,roulin_filtrado,15.0,yes
img_021_costumes_colombie,img_21,Costumes / Colombie,Imagen,Grabado,1837.0,1837.0,Anónimo,agt_anonimo,inst_internet_archive,,https://archive.org/details/lunivershistoir64unkngoog/page/n600/mode/2up?view=theater,16S6Ff98wTViWO7DZvlLRUkrn1EkrBILp,https://drive.google.com/file/d/16S6Ff98wTViWO7DZvlLRUkrn1EkrBILp/view,18.jpg,/img/corpus/roulin/18.jpg,,"Las láminas que sirvieron de modelo a la composición fueron identificadas por Beatriz González y Carolina Vanegas, 2017. Esta última afirma que la figura del carguero está basada en la lámina de Hamilton","L'Univers. Histoire et Description de tous les Peuples. Bresil par Ferdinand Denis & Colombie et Guyanes par Cesar Famin (Paris: Firmin Didot Frères Éditeurs, 1837)",roulin,quindio_supia,,no,,roulin_filtrado,21.0,yes
img_022_passage_quindiu_entre_ibague_cartago,img_22,Le passage du Quindiu entre Ibague y Cartago,Imagen,Grabado,1836.0,1836.0,"Alcide d'Orbigny, Francois Desire Roulin (Dibj.)",agt_roulin;agt_dorbigny_alcide,inst_internet_archive,,https://archive.org/details/voyagepittoresque00orbirich/page/78/mode/2up,1oBjRHIPG72QUTyVt7Ay_40wC3pjNoO94,https://drive.google.com/file/d/1oBjRHIPG72QUTyVt7Ay_40wC3pjNoO94/view,19.jpg,/img/corpus/roulin/19.jpg,,"El dibujo de Roulin del campamento en el camino de Quindío fue modificado y convertido en grabado en el libro de viajes de Alcide d’Orbigny Voyage Pittoresque dans les deux Amériques, un popular libro contribuyó de manera significativa a la difusión del conocimiento de la Nueva Granada. D’Orbigny, un especialista en moluscos, pertenecía al mismo círculo científico de Cuvier y Roulin. Así como este último, también fue acreditado como “discípulo” en la edición del Reino Animal de 1836. De hecho, su figura juega un papel fundamental en la investigación acerca de la determinación de las características raciales de los americanos para la clasificación del Reino Animal de Cuvier. En el texto la lámina del campamento del Quindío se titula Passage du Quindiu entre Ibagué & Cartago. Es invocada en el contexto en el que se está narrando el viaje desde Bogotá hasta Guayaquil. La narración de este tramo sigue de cerca la descripción hecha por Humboldt en Vues. La lámina es invocada expresamente (“Pt.X -3”) para aludir a los contaderos, que es el lugar en los “altos de las montañas” con fuente de agua próxima y comida para las “bestias” en donde se establece el campamento. Allí d’Orbigny vuelve sobre un tema tratado por Humboldt en su relato. Este es el del uso del Bijao  (Bichai, se lee en el relato), la hoja de una planta que está provista de un barniz que la hace “impermeable”, a la que, según he mencionado en varias ocasiones, se refirió Humboldt. Por su parte, la lámina muestra a diversas figuras llevando a cabo actividades en el campamento. A pesar de ser producto de un calco, la composición de la lámina de d’Orbigny, en comparación con el boceto de Roulin, muestra algunas diferencias. El plano del grabado usado por d’Orbigny es más abierto. Como si se quisiera mostrar una vista general, al contrario del plano más cerrado de Roulin que quiere detenerse en los detalles. Asimismo, hay cambios en algunas figuras. Por ejemplo, el sujeto que Combes confundió por Boussingault, que se encuentra en el borde derecho de la lámina, ya no tiene apariencia de un sujeto distinguido, sino más bien parece un campesino local. Tampoco se pueden apreciar los cargueros armando la tienda con las hojas de Bijao. También es de interés la lámina Minas de la Vega de Supía que representa el siguiente tramo en el recorrido del viajero ficticio de d’Orbigny. Aunque no se encuentra entre las acuarelas donadas en el 2003, esta lámina es muy probablemente hecha a partir de un dibujo de Roulin.","Alcide D’Orbigny, Voyage pittoresque dans les deux Amériques (Chez L. Tenré, Libraire-éditeur)",roulin,quindio_supia,,yes,1.0,roulin_filtrado,22.0,yes
img_023_tabillo_maniere_dont_voyageurs_sont,img_23,El Tabillo: Maniére dont les voyageurs sont portés á dos d’homme dans les envirous de Pasto,Imagen,Grabado,1848.0,1848.0,A de Lattre. Original de Francois Desire Roulin,agt_roulin;agt_de_lattre_a,inst_bnf_gallica,,https://gallica.bnf.fr/ark:/12148/bpt6k314316/f237.item,1SDt6MnO2OcqZshOsaq3aVoRcTMWrr_Yo,https://drive.google.com/file/d/1SDt6MnO2OcqZshOsaq3aVoRcTMWrr_Yo/view,20.jpg,/img/corpus/roulin/20.jpg,,"Descripción del carguero en el Putumayo. Llama la atención que la técnica usada es diferente, la silla es más rudimentaria, y el pasajero mira hacia delante. Notar relación con la acuarela de Gutiérrez de Alba que refiere a un carguero en Caquetá, y con la del carguero de Ecuador de la expedición Malaspina. Parece ser una característica propia de los ejemplares del sur","Le Magasin pittoresque, 16, 1848",tablillo,corpus_ampliado,,no,,roulin_filtrado,23.0,yes
img_024_passage_dun_torrent,img_24,Passage d’un torrent,Imagen,Grabado,1848.0,1848.0,A de Lattre. Original de Francois Desire Roulin,agt_roulin;agt_de_lattre_a,inst_bnf_gallica,,https://gallica.bnf.fr/ark:/12148/bpt6k314316/f240.item,12hhl_9Viip9JZG_lGUkh2WJwcO8pJ8ur,https://drive.google.com/file/d/12hhl_9Viip9JZG_lGUkh2WJwcO8pJ8ur/view,21.jpg,/img/corpus/roulin/21.jpg,,"Este es un plano general de la imagen ""Tablillo, Maniére dont les voyageurs sont portés á dos d’homme dans les envirous de Pasto"". Mantiene esta peculiar disposición de la silla y de la carga. Fue reseñada en el libro ""Tarabitas y cabuyas: la representación del puente en el arte en Colombia durante el siglo XIX"" de Verónica Uribe Hanabergh.","Le Magasin pittoresque, 16, 1848",tablillo,corpus_ampliado,,no,,roulin_filtrado,24.0,yes
img_025_silla_maniere_porter_voyageurs_dans,img_25,La silla: maniére de porter les voyageurs dans le Quindiu,Imagen,Grabado,1848.0,1848.0,A de Lattre. Original de Francois Desire Roulin,agt_roulin;agt_de_lattre_a,inst_bnf_gallica,,https://gallica.bnf.fr/ark:/12148/bpt6k314316/f237.item,1TlPWqxuiOl16rqkjzv8Jc4PTM6vZp8Vj,https://drive.google.com/file/d/1TlPWqxuiOl16rqkjzv8Jc4PTM6vZp8Vj/view,22.jpg,/img/corpus/roulin/22.jpg,,"Tomada del modelo de Roulin. Se usa para contrastar con el método de las tierras del sur, llamado Tablillo","Le Magasin pittoresque, 16, 1848",roulin,quindio_supia,,yes,2.0,roulin_filtrado,25.0,yes
img_026_sin_titulo,img_26,[Carguero],Imagen,Grabado,1849.0,1849.0,Cordech,agt_cordech,inst_google_books,,https://books.google.com.cu/books?id=9JBEAAAAcAAJ&pg=PA89&hl=es&source=gbs_toc_r&cad=3#v=onepage&q&f=false,1fuOYUjdv2aKWHEXPf4Zv21S8LKWVAS9L,https://drive.google.com/file/d/1fuOYUjdv2aKWHEXPf4Zv21S8LKWVAS9L/view,25.jpg,/img/corpus/roulin/25.jpg,,"En 1849 apareció la misma imagen del artículo de Magasin Pittoresque de A de Lattre, aunque atribuyéndole el crédito a otro dibujante y sin atribuciones al grabado, en una versión española de la revista francesa denominada el Semanario Pintoresco Español atribuido a 'un viajero'",Semanario Pintoresco Español 12 (1849): 91,roulin,quindio_supia,,no,,roulin_filtrado,26.0,yes
img_027_die_silla,img_27,Die Silla,Imagen,Grabado,1851.0,1851.0,AHC. Rose,agt_rose_ahc,inst_desconocido,,https://pbc.gda.pl/dlibra/publication/79722/edition/72711?language=en,1wRmU5Ecy6c6UOewujZhpEML0l84B0_yg,https://drive.google.com/file/d/1wRmU5Ecy6c6UOewujZhpEML0l84B0_yg/view,26.jpg,/img/corpus/roulin/26.jpg,,"Otro ejemplar de la imagen del artículo de A de Lattre en Magasin Pittoresque puede encontrarse, con las mismas atribuciones al dibujante y al grabador, en la revista alemana Das Pfennig-Magazin, publicada en 1851. De acuerdo con un modelo de producción de impresos y de distribución y comercialización popularizado por The Penny Magazine -la directa competidora de The Saturday Magazine-, era habitual que entre estas revistas se compraran entre ellas los artículos y las planchas xilográficas para producir las imágenes y de esta manera llenar el contenido de las propias publicaciones. Estas revistas estaban orientadas a un público amplio y tenían un ánimo de instrucción y educación popular.",Das Pfennig-Magazin 19 (1851),roulin,quindio_supia,,no,,roulin_filtrado,27.0,yes
