id,entity_id,place_id,place_role,institution_id,confidence,evidence_source,note,chain,include_demo,needs_review
ep_0001,img_011_campamento_camino_quindio,plc_quindio,represented_place,,inferida,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,quindio_supia,yes,yes
ep_0002,img_011_campamento_camino_quindio,plc_bogota,custody_place,inst_banrep,documentada,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",Lugar de custodia asociado a institución/repositorio.,quindio_supia,yes,no
ep_0003,img_014_view_pass_quindio_province_popayan,plc_quindio,represented_place,,inferida,"John Potter Hamilton, Travels through the interior provinces of Columbia (Londres: John Murray, 1827)",Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,quindio_supia,yes,yes
ep_0004,img_014_view_pass_quindio_province_popayan,plc_san_francisco,custody_place,inst_internet_archive,documentada,"John Potter Hamilton, Travels through the interior provinces of Columbia (Londres: John Murray, 1827)",Lugar de custodia asociado a institución/repositorio.,quindio_supia,yes,no
ep_0005,img_015_sin_titulo,plc_colombia,represented_place,,inferida,"Museo Nacional de Colombia, Antei, Giorgio. Guía de forasteros : viajes ilustrados por Colombia, 1817-1857 / Giorgio Antei. Bogotá: Seguros Bolívar, 1995.",Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,quindio_supia,no,yes
ep_0006,img_015_sin_titulo,plc_bogota,custody_place,inst_museo_nacional_colombia,documentada,"Museo Nacional de Colombia, Antei, Giorgio. Guía de forasteros : viajes ilustrados por Colombia, 1817-1857 / Giorgio Antei. Bogotá: Seguros Bolívar, 1995.",Lugar de custodia asociado a institución/repositorio.,quindio_supia,no,no
ep_0007,img_021_costumes_colombie,plc_quindio,represented_place,,inferida,"L'Univers. Histoire et Description de tous les Peuples. Bresil par Ferdinand Denis & Colombie et Guyanes par Cesar Famin (Paris: Firmin Didot Frères Éditeurs, 1837)",Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,quindio_supia,no,yes
ep_0008,img_021_costumes_colombie,plc_san_francisco,custody_place,inst_internet_archive,documentada,"L'Univers. Histoire et Description de tous les Peuples. Bresil par Ferdinand Denis & Colombie et Guyanes par Cesar Famin (Paris: Firmin Didot Frères Éditeurs, 1837)",Lugar de custodia asociado a institución/repositorio.,quindio_supia,no,no
ep_0009,img_022_passage_quindiu_entre_ibague_cartago,plc_quindio,represented_place,,inferida,"Alcide D’Orbigny, Voyage pittoresque dans les deux Amériques (Chez L. Tenré, Libraire-éditeur)",Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,quindio_supia,yes,yes
ep_0010,img_022_passage_quindiu_entre_ibague_cartago,plc_san_francisco,custody_place,inst_internet_archive,documentada,"Alcide D’Orbigny, Voyage pittoresque dans les deux Amériques (Chez L. Tenré, Libraire-éditeur)",Lugar de custodia asociado a institución/repositorio.,quindio_supia,yes,no
ep_0011,img_023_tabillo_maniere_dont_voyageurs_sont,plc_colombia,represented_place,,inferida,"Le Magasin pittoresque, 16, 1848",Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,corpus_ampliado,no,yes
ep_0012,img_023_tabillo_maniere_dont_voyageurs_sont,plc_paris,custody_place,inst_bnf_gallica,documentada,"Le Magasin pittoresque, 16, 1848",Lugar de custodia asociado a institución/repositorio.,corpus_ampliado,no,no
ep_0013,img_024_passage_dun_torrent,plc_colombia,represented_place,,inferida,"Le Magasin pittoresque, 16, 1848",Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,corpus_ampliado,no,yes
ep_0014,img_024_passage_dun_torrent,plc_paris,custody_place,inst_bnf_gallica,documentada,"Le Magasin pittoresque, 16, 1848",Lugar de custodia asociado a institución/repositorio.,corpus_ampliado,no,no
ep_0015,img_025_silla_maniere_porter_voyageurs_dans,plc_quindio,represented_place,,inferida,"Le Magasin pittoresque, 16, 1848",Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,quindio_supia,yes,yes
ep_0016,img_025_silla_maniere_porter_voyageurs_dans,plc_paris,custody_place,inst_bnf_gallica,documentada,"Le Magasin pittoresque, 16, 1848",Lugar de custodia asociado a institución/repositorio.,quindio_supia,yes,no
ep_0017,img_026_sin_titulo,plc_quindio,represented_place,,inferida,Semanario Pintoresco Español 12 (1849): 91,Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,quindio_supia,no,yes
ep_0018,img_027_die_silla,plc_quindio,represented_place,,inferida,Das Pfennig-Magazin 19 (1851),Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,quindio_supia,no,yes
ep_0019,img_047_voyage_dos_dindie,plc_quindio,represented_place,,inferida,"Aperçu General sur la Colombie et recits de voyages en Amérique, (Geneve: Impr. M. Richter, 1887)",Derivado del campo place_ids de la base v1; revisar rol si entra en demo.,quindio_supia,no,yes
ep_0020,img_047_voyage_dos_dindie,plc_san_francisco,custody_place,inst_internet_archive,documentada,"Aperçu General sur la Colombie et recits de voyages en Amérique, (Geneve: Impr. M. Richter, 1887)",Lugar de custodia asociado a institución/repositorio.,quindio_supia,no,no
