id,subject_id,predicate,object_id,confidence,asserted_by,assertion_basis,evidence_source,page_or_folio,note,chain,path_group,relation_function,include_demo,demo_priority,needs_review
rel_0001,img_011_campamento_camino_quindio,fue_creado_por,agt_roulin,documentada,base_doctoral,catalogacion_o_atribucion,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,Agente extraído del campo autor: François Desiré Roulin,quindio_supia,metadatos_base,,yes,1.0,yes
rel_0002,img_011_campamento_camino_quindio,se_conserva_en,inst_banrep,documentada,base_doctoral,repositorio_o_fuente,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,Inferido desde fuente/repositorio: https://descubridor.banrepcultural.org/permalink/57BDLRDC_INST/qk5q4l/alma991008927709707486,quindio_supia,metadatos_base,,yes,1.0,yes
rel_0003,img_011_campamento_camino_quindio,representa_lugar,plc_quindio,inferida,base_doctoral,metadatos_geograficos,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,Lugar inferido desde país/región/camino/título. Requiere revisión si entra en demo.,quindio_supia,metadatos_base,,yes,1.0,yes
rel_0004,img_011_campamento_camino_quindio,pertenece_a_cluster_modelo,con_modelo_roulin_cluster,documentada,base_doctoral,campo_modelo,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,Campo heredado modelo=roulin; no equivale a derivación directa.,quindio_supia,modelo_auxiliar,,yes,1.0,yes
rel_0005,img_014_view_pass_quindio_province_popayan,fue_atribuido_a,agt_hamilton_john_potter,inferida,base_doctoral,catalogacion_o_atribucion,"John Potter Hamilton, Travels through the interior provinces of Columbia (Londres: John Murray, 1827)",,Agente extraído del campo autor: John Potter Hamilton [Atribuido]. Eduard Francis Finden [grab],quindio_supia,metadatos_base,,yes,1.0,yes
rel_0006,img_014_view_pass_quindio_province_popayan,fue_atribuido_a,agt_finden_edward_francis,inferida,base_doctoral,catalogacion_o_atribucion,"John Potter Hamilton, Travels through the interior provinces of Columbia (Londres: John Murray, 1827)",,Agente extraído del campo autor: John Potter Hamilton [Atribuido]. Eduard Francis Finden [grab],quindio_supia,metadatos_base,,yes,1.0,yes
rel_0007,img_014_view_pass_quindio_province_popayan,esta_disponible_en,inst_internet_archive,documentada,base_doctoral,repositorio_o_fuente,"John Potter Hamilton, Travels through the interior provinces of Columbia (Londres: John Murray, 1827)",,Inferido desde fuente/repositorio: https://archive.org/details/travelsthroughin02hami/page/210/mode/2up,quindio_supia,metadatos_base,,yes,1.0,yes
rel_0008,img_014_view_pass_quindio_province_popayan,representa_lugar,plc_quindio,inferida,base_doctoral,metadatos_geograficos,"John Potter Hamilton, Travels through the interior provinces of Columbia (Londres: John Murray, 1827)",,Lugar inferido desde país/región/camino/título. Requiere revisión si entra en demo.,quindio_supia,metadatos_base,,yes,1.0,yes
rel_0009,img_014_view_pass_quindio_province_popayan,pertenece_a_cluster_modelo,con_modelo_roulin_cluster,documentada,base_doctoral,campo_modelo,"John Potter Hamilton, Travels through the interior provinces of Columbia (Londres: John Murray, 1827)",,Campo heredado modelo=roulin; no equivale a derivación directa.,quindio_supia,modelo_auxiliar,,yes,1.0,yes
rel_0010,img_015_sin_titulo,fue_creado_por,agt_anonimo,documentada,base_doctoral,catalogacion_o_atribucion,"Museo Nacional de Colombia, Antei, Giorgio. Guía de forasteros : viajes ilustrados por Colombia, 1817-1857 / Giorgio Antei. Bogotá: Seguros Bolívar, 1995.",,Agente extraído del campo autor: Anónimo,quindio_supia,metadatos_base,,no,,yes
